cycle,simulation_time,action,green_time,phase,queue_length,total_waiting_time,avg_waiting_time_per_vehicle,occupancy,density,throughput,vehicles_in_detectors,flow_rate,jam_detected,vehicles_through_motorcycle,vehicles_through_passenger,vehicles_through_bus,vehicles_through_truck,total_vehicles_through,cumulative_throughput,avg_speed,fuel_consumption,co2_emission
69,1311.0,0,15,3,89,89,1.0,88.22053602362391,370.8333333333333,22.900000000000013,89,224.759725400457,False,1123,227,3,1,1354,571.9000000000001,0.261662824246752,70442.92099685063,220844.22428880085
70,1330.0,0,15,6,57,57,1.0,54.16963130966715,237.49999999999997,4.6,57,224.69548872180383,False,1135,228,3,1,1367,576.5000000000001,0.408714356205179,46328.35625573405,145243.01725331086
71,1349.0,0,15,0,66,66,1.0,68.51675451886351,275.0,4.8999999999999995,66,225.83395107486962,False,1148,229,3,1,1381,581.4000000000001,0.49049640221611773,48571.355283011704,152275.78183187064
72,1368.0,0,15,3,84,84,1.0,86.18087337356002,350.0,26.400000000000013,84,226.48026315789411,False,1196,241,3,1,1441,607.8000000000001,0.25061407667543467,66908.91013284623,209765.46883064712
73,1387.0,0,15,6,49,49,1.0,47.440154321092955,204.1666666666666,4.3,49,227.27108868060503,False,1207,242,3,1,1453,612.1,0.786073513986182,36504.444444444445,114444.44444444434
74,1406.0,0,15,0,55,55,1.0,57.69950977839885,229.16666666666663,3.899999999999999,55,227.91251778093826,False,1220,242,3,1,1466,616.0,0.3659732860695216,40346.92668806625,126491.64159911766
75,1425.0,0,15,3,72,72,1.0,78.62199444308175,300.0,22.300000000000015,72,228.6315789473679,False,1271,249,3,1,1524,638.3000000000001,0.4106934763479425,54981.20639277755,172372.2614419514
76,1444.0,0,15,6,38,38,1.0,41.73072694463058,158.3333333333333,4.0,38,228.98891966758953,False,1281,250,3,1,1535,642.3000000000001,1.2196600291529296,26346.66666666668,82599.99999999994
77,1463.0,0,15,0,54,54,1.0,56.546985156811516,224.99999999999997,3.1,54,229.64456596035492,False,1288,251,3,1,1543,645.4000000000001,0.5002707838988402,38167.33225615984,119705.7832254998
78,1482.0,0,15,3,71,71,1.0,74.95821763238837,295.83333333333337,23.100000000000005,71,229.73684210526267,False,1335,260,3,1,1599,668.5000000000001,0.3609927907143372,53915.37465331694,169077.8435120761
79,1501.0,0,15,6,38,38,1.0,38.65546004532457,158.33333333333331,7.6,38,229.10726182544926,False,1347,264,3,1,1615,676.1000000000001,0.974205226379208,29628.789043447745,92936.74457451492
80,1520.0,0,15,0,50,50,1.0,58.32117524292719,208.33333333333334,3.6999999999999997,50,230.03289473684168,False,1356,265,3,1,1625,679.8000000000002,0.6316395357228605,35762.22402404956,112210.20415970072
81,1539.0,0,15,3,62,62,1.0,76.25649380579526,258.33333333333337,24.100000000000012,62,232.2222222222218,False,1403,273,3,2,1681,703.9000000000002,0.39823492165810764,51146.20580681442,160544.68903803066
82,1558.0,0,15,6,27,27,1.0,35.04816047246192,112.49999999999999,7.1,27,231.960847240051,False,1410,276,4,2,1692,711.0000000000002,1.9595807030936092,21660.618198296444,68002.80450991464
83,1577.0,0,15,0,60,60,1.0,62.84899512105714,249.99999999999994,4.699999999999999,60,234.58782498414675,False,1419,276,5,2,1702,715.7000000000003,1.2853697625940046,29110.40713924717,91310.2215950829
84,1596.0,0,15,3,80,80,1.0,84.66830332773353,333.3333333333333,23.000000000000007,80,236.2781954887215,False,1469,284,5,2,1760,738.7000000000003,0.30440245996293114,65223.77796270302,204528.81762049542
85,1615.0,0,15,6,43,43,1.0,46.788774688054225,179.16666666666663,5.3999999999999995,43,236.5634674922598,False,1477,287,5,2,1771,744.1000000000003,0.9711041008958842,32425.980907534322,101704.86956537535
86,1634.0,0,15,0,54,54,1.0,58.21890130783136,224.99999999999997,4.5,54,237.06242350061174,False,1482,288,6,2,1778,748.6000000000003,0.3951133111999826,40516.00757268365,127068.2585064254
87,1653.0,0,15,3,78,78,1.0,82.4802665138439,325.0,23.100000000000012,78,237.8493647912884,False,1529,297,6,2,1834,771.7000000000003,0.41724792640453867,60386.640591842566,189317.9601083363
88,1672.0,0,15,6,42,42,1.0,43.7323906108164,174.99999999999997,4.3,42,237.81100478468886,False,1540,298,6,2,1846,776.0000000000002,1.1761270595880766,30622.540500336407,96005.48944090346
89,1691.0,0,15,0,61,61,1.0,64.0062576006679,254.16666666666663,5.1,61,238.6516853932583,False,1547,301,6,2,1856,781.1000000000003,0.7874183859650583,35835.20014933167,112347.71184076421
90,1710.0,0,15,3,80,80,1.0,84.93829690938125,333.3333333333333,24.100000000000012,80,240.2631578947368,False,1594,311,6,2,1913,805.2000000000003,0.17192968414063112,62843.97542831355,197022.07430729244
91,1729.0,0,15,6,39,39,1.0,42.563296909381265,162.49999999999994,9.2,39,240.69404279930595,False,1608,316,6,2,1932,814.4000000000003,0.5511333747646977,30477.222222222237,95549.72222222216
92,1748.0,0,15,0,59,59,1.0,60.98939315883628,245.83333333333331,5.9,59,241.91361556064075,False,1611,321,6,2,1940,820.3000000000003,1.1937293355648517,33234.867412633146,104195.32710910196
93,1767.0,0,15,3,82,82,1.0,82.66222084543021,341.66666666666663,21.600000000000005,82,243.10696095076403,False,1663,327,6,2,1998,841.9000000000003,0.2817772266035447,63825.62135409516,200098.73304778244
94,1786.0,0,15,6,44,44,1.0,42.92619800513738,183.33333333333331,7.999999999999998,44,242.58678611422187,False,1683,329,6,2,2020,849.9000000000003,0.6246245377933364,34048.33333333334,106744.1666666666
95,1805.0,0,15,0,59,59,1.0,62.45714721847517,245.83333333333331,5.1,59,244.72022160664832,False,1690,332,6,2,2030,855.0000000000003,0.6249012876471264,42752.13961293096,134032.11651458894
96,1824.0,0,15,3,80,80,1.0,81.70430531307613,333.3333333333333,20.10000000000001,80,245.55098684210546,False,1737,338,6,2,2083,875.1000000000004,0.3942814255500476,66309.53365891783,207886.4993964325
97,1843.0,0,15,6,49,49,1.0,50.13885352957733,204.16666666666666,6.3,49,244.97287032013043,False,1748,341,6,2,2097,881.4000000000003,0.7521631683003971,36393.332614791725,114096.66441410818
98,1862.0,0,15,0,70,70,1.0,69.0759863670156,291.66666666666663,4.3999999999999995,70,246.14661654135364,False,1756,343,6,2,2107,885.8000000000003,0.3930331889259901,50084.09855021141,157017.9428719134
99,1881.0,0,15,3,87,87,1.0,87.26452922477637,362.5,19.6,87,246.2440191387563,False,1808,347,6,2,2163,905.4000000000003,0.28291480871358404,68086.8223686355,213457.47165421088
100,1900.0,0,15,6,54,54,1.0,53.361282974104945,225.0,6.299999999999999,54,245.88947368421086,False,1819,350,6,2,2177,911.7000000000003,0.937027525587983,42313.727043070045,132657.71956432835
101,1919.0,0,15,0,72,72,1.0,73.09173529235474,300.0,6.799999999999999,72,247.01928087545636,False,1835,352,6,2,2195,918.5000000000002,0.43211207725540446,50550.91876458298,158480.92067284096
102,1938.0,0,15,3,83,83,1.0,86.95643152463316,345.83333333333337,22.500000000000007,83,247.73219814241529,False,1880,361,6,2,2249,941.0000000000002,0.3142040227906632,65339.91962310265,204846.688522189
